longitude,latitude,track_location,height
141.678648747,37.3284527691,57.9141379857,-306.101068662
141.681263937,37.3284931185,58.145794439,-308.635478219
141.68387913,37.3285334103,58.3774508916,-311.467247048
141.686494325,37.3285736445,58.6091073434,-314.100192905
141.689109524,37.3286138212,58.8407637946,-316.449878839
141.691724725,37.3286539404,59.0724202451,-319.28870618
141.694339929,37.3286940019,59.3040766948,-322.449580951
141.696955136,37.3287340059,59.5357331439,-325.805458042
141.699570345,37.3287739524,59.7673895923,-328.787635871
141.702185557,37.3288138413,59.9990460399,-331.496751687
141.704800772,37.3288536727,60.2307024869,-334.02380696
141.70741599,37.3288934464,60.4623589332,-336.665119342
141.71003121,37.3289331627,60.6940153788,-339.510283849
141.712646433,37.3289728213,60.9256718237,-342.341806968
141.715261659,37.3290124225,61.1573282679,-345.289053094
141.717876888,37.329051966,61.3889847115,-348.499669065
141.720492119,37.329091452,61.6206411543,-351.450539416
141.723107354,37.3291308804,61.8522975965,-354.22944158
141.72572259,37.3291702513,62.0839540379,-357.105774618
141.72833783,37.3292095646,62.3156104787,-359.749211336
141.730953072,37.3292488204,62.5472669188,-362.249225809
141.733568317,37.3292880186,62.7789233582,-365.618584454
141.736183565,37.3293271592,63.010579797,-369.938978714
141.738798815,37.3293662423,63.242236235,-375.388474136
141.741414068,37.3294052678,63.4738926724,-380.103214082
141.744029324,37.3294442358,63.7055491091,-383.790115883
141.746644582,37.3294831462,63.9372055451,-385.597170987
141.749259843,37.329521999,64.1688619804,-387.572588493
141.751875107,37.3295607943,64.4005184151,-390.181006674
141.754490374,37.329599532,64.6321748491,-394.648763191
141.757105643,37.3296382122,64.8638312824,-399.309619552
141.759720915,37.3296768348,65.095487715,-403.385021436
141.762336189,37.3297153998,65.327144147,-407.295653946
141.764951466,37.3297539073,65.5588005783,-411.30737796
141.767566746,37.3297923572,65.7904570089,-415.871514707
141.770182028,37.3298307496,66.0221134389,-420.8361853
141.772797314,37.3298690844,66.2537698682,-425.753476925
141.775412601,37.3299073616,66.4854262968,-428.440072895
141.778027892,37.3299455813,66.7170827247,-430.56226835
141.780643185,37.3299837434,66.948739152,-432.715121556
141.78325848,37.3300218479,67.1803955787,-435.643275166
141.785873779,37.3300598949,67.4120520046,-438.769810367
141.788489079,37.3300978843,67.6437084299,-441.198346646
141.791104383,37.3301358162,67.8753648546,-445.498615244
141.793719689,37.3301736905,68.1070212785,-451.471972987
141.796334998,37.3302115072,68.3386777019,-458.27598371
141.798950309,37.3302492664,68.5703341245,-464.059920204
141.801565623,37.330286968,68.8019905465,-468.229297456
141.80418094,37.330324612,69.0336469679,-473.767869111
141.806796259,37.3303621985,69.2653033886,-478.41174261
141.809411581,37.3303997274,69.4969598086,-479.96884142
141.812026905,37.3304371988,69.728616228,-480.722784028
141.814642232,37.3304746126,69.9602726467,-480.944704164
141.817257561,37.3305119688,70.1919290648,-480.862271129
141.819872894,37.3305492675,70.4235854823,-481.209289578
141.822488228,37.3305865086,70.6552418991,-482.215775982
141.825103565,37.3306236921,70.8868983152,-483.195231818
141.827718905,37.3306608181,71.1185547307,-484.570689882
141.830334248,37.3306978865,71.3502111455,-486.708290535
141.832949592,37.3307348973,71.5818675597,-487.941659811
141.83556494,37.3307718506,71.8135239733,-489.243122989
141.83818029,37.3308087463,72.0451803862,-492.802717338
141.840795642,37.3308455845,72.2768367985,-497.023896656
141.843410998,37.330882365,72.5084932101,-501.493009003
141.846026355,37.3309190881,72.7401496211,-505.454861397
141.848641715,37.3309557535,72.9718060314,-508.992992799
141.851257078,37.3309923614,73.2034624412,-512.052056402
141.853872443,37.3310289117,73.4351188502,-515.537390429
141.856487811,37.3310654045,73.6667752587,-519.4461324
141.859103181,37.3311018397,73.8984316665,-523.972450563
141.861718554,37.3311382173,74.1300880737,-527.726111693
141.864333929,37.3311745373,74.3617444802,-530.705409247
141.866949307,37.3312107998,74.5934008861,-534.437641169
141.869564687,37.3312470048,74.8250572914,-538.041973875
141.87218007,37.3312831521,75.056713696,-541.117118492
141.874795455,37.3313192419,75.2883701,-544.229669607
141.877410843,37.3313552741,75.5200265034,-547.354103556
